id ra dec zphot zspec f770w f1800w mstar_gal mstar_gal_l68 mstar_gal_u68 av_gal_1 av_gal_1_l68 av_gal_1_u68 av_gal_2 av_gal_2_l68 av_gal_2_u68 logLbol logLbol_l68 logLbol_u68 av_agn av_agn_l68 av_agn_u68 fhd fhd_l68 fhd_u68 mstar_hybrid mstar_hybrid_l68 mstar_hybrid_u68 av_hybrid av_hybrid_l68 av_hybrid_u68
UDS-4396 34.374881 -5.108179 5.83 -1.0 24.59 -23.21 9.91 9.82 10.02 0.07 0.02 0.15 4.05 3.86 4.2 45.98 45.86 46.08 4.24 3.91 4.51 0.0708 0.0246 0.1252 7.56 7.51 7.62 0.1 0.03 0.18
UDS-4828 34.334611 -5.110271 4.51 -1.0 23.71 -23.41 10.29 10.17 10.4 0.24 0.12 0.41 3.96 3.87 4.08 45.9 45.84 45.96 3.13 2.95 3.33 0.0281 0.0129 0.0417 8.45 8.37 8.54 0.77 0.75 0.79
UDS-5280 34.353248 -5.112265 5.17 -1.0 24.93 -23.22 9.81 9.7 9.91 0.13 0.04 0.27 2.83 2.64 3.0 45.61 45.53 45.68 3.07 2.86 3.29 0.131 0.0483 0.2061 7.31 7.22 7.59 0.11 0.03 0.24
UDS-5480 34.430215 -5.113209 5.8 -1.0 24.67 -23.08 9.83 9.77 9.9 0.06 0.02 0.12 1.98 1.89 2.04 45.86 45.78 45.93 2.99 2.78 3.18 0.0885 0.0296 0.147 7.91 7.87 7.95 0.13 0.08 0.18
UDS-5719 34.21689 -5.11433 5.2 -1.0 25.03 -23.21 9.99 9.92 10.05 0.0 0.0 0.0 2.46 2.33 2.59 45.65 45.59 45.71 2.89 2.7 3.06 0.088 0.0271 0.1668 7.27 4.58 8.02 0.67 0.21 1.24
UDS-6563 34.340241 -5.118699 5.74 -1.0 24.37 -23.19 10.62 10.54 10.69 0.14 0.04 0.27 5.75 5.58 5.96 45.97 45.88 46.02 4.49 4.23 4.61 0.0911 0.0404 0.1362 7.55 7.39 7.83 0.06 0.02 0.14
UDS-9235 34.460348 -5.131579 4.45 -1.0 21.3 19.33 11.7 11.65 11.74 1.58 1.48 1.67 6.96 6.9 6.99 46.38 46.33 46.43 3.11 2.97 3.27 1.2514 1.113 1.3871 9.05 8.89 9.19 0.61 0.45 0.76
UDS-10330 34.447346 -5.135882 5.38 -1.0 24.98 -23.18 9.59 9.49 9.74 0.2 0.06 0.52 3.17 2.88 3.37 45.83 45.76 45.9 3.82 3.62 4.02 0.0746 0.0216 0.1394 7.65 7.22 8.03 0.32 0.15 0.53
UDS-13468 34.315038 -5.149331 6.97 -1.0 25.49 -23.3 9.52 9.48 9.55 0.0 0.0 0.0 0.02 0.01 0.05 45.76 45.72 45.8 2.22 2.12 2.32 0.0695 0.0202 0.1707 7.95 7.93 7.97 0.0 0.0 0.01
UDS-13624 34.295992 -5.149867 5.89 -1.0 24.76 -23.61 10.15 10.05 10.23 0.09 0.02 0.21 2.21 2.09 2.32 45.91 45.85 45.96 2.75 2.61 2.88 0.0298 0.0082 0.054 7.89 7.78 8.28 0.35 0.21 0.48
